model,sign_id,family,tag,tag2,notes,reviewed,query_id,panels,question,gold,model_verdict,gold_reason,reason_on_image,reason_on_text,crop,tagged_by
internvl3_5-8b,downtown/470217334091689_0,perception,merged panels,,Attached the no-stopping 4-6 PM window to the 2-hour parking panel ('parking allowed 4-6 PM for 2 hours'). Every panel legible.,,downtown/470217334091689_0#03,3+,MON 16:35 for 90 min,illegal,legal,"stay overlaps panel 1 (no_stopping, 16:00-18:00, MON,TUE,WED,THU,FRI) by 85 min","Parking is allowed from 4 PM to 6 PM on weekdays for 2 hours. The driver plans to park for 1 hour 30 minutes, which is within the allowed time.","The driver arrives at 16:35 on Monday, which falls under Panel 1 (No stopping; 16:00-18:00; Monday, Tuesday, Wednesday, Thursday, Friday). Parking is not allowed during this time. Additionally, the driver wants to park for 1 hour 30 minutes, which exceeds the 120-minute limit for time-limited parking in Panels 2 and 3, but since the driver is arriving during the restricted time in Panel 1, the parking is illegal.",data/collect/crops/downtown/470217334091689_0.jpg,claude
internvl3_5-8b,hollywood/1963681123782352_0,reasoning,day-only reasoning,,"Read '12-3 PM Tuesday' correctly, then called a 03:57-07:57 stay illegal without checking the hours.",,hollywood/1963681123782352_0#08,3+,"TUE 03:57 for 240 min, permit 96",legal,illegal,no panel is violated by this stay,Parking is illegal from 12:00 PM to 3:00 PM on Tuesdays due to street sweeping.,"The driver has a residential permit for district 96, which allows parking in Panel 1, but the driver is arriving during the 'No parking' period in Panel 0 (12:00-15:00) on Tuesday. Since the driver is arriving before the restricted period and has a permit, parking is legal.",data/collect/crops/hollywood/1963681123782352_0.jpg,claude
internvl3_5-8b,hollywood/1979970682169839_0,reasoning,time comparison,,Said 17:26 falls within 6 PM-8 AM.,,hollywood/1979970682169839_0#01,3+,TUE 17:26 for 30 min,legal,illegal,no panel is violated by this stay,"Parking is not allowed from 6 PM to 8 AM, and the driver arrives at 17:26 (5:26 PM), which falls within this time frame.","The driver arrives at 17:26 on Tuesday, which falls within the time-limited parking period of 08:00-18:00 on Panel 2. Since the driver has no parking permit, they are not exempt from the time limit. Parking for 30 minutes is within the 120-minute limit, so it is legal.",data/collect/crops/hollywood/1979970682169839_0.jpg,claude
internvl3_5-8b,hollywood/343965357440398_0,ambiguous,ambiguous legibility,,"Model read district 96, label says 95. The digit is ambiguous even at 4x. Check the original photo: the LABEL may be wrong.",,hollywood/343965357440398_0#08,2,"TUE 16:20 for 15 min, permit 95",legal,illegal,no panel is violated by this stay,"Parking is illegal due to the 'No Parking Anytime' sign, and the permit is for District 96, not 95.","The driver arrives at 16:20 on Tuesday, which is outside the no parking hours (12:00-15:00) specified in Panel 0. Additionally, the driver has a residential permit for district 95, which exempts them from the no parking restriction in Panel 1 that applies all day every day. Therefore, parking is legal.",data/collect/crops/hollywood/343965357440398_0.jpg,claude
internvl3_5-8b,hollywood/478055626809529_0,perception,misread day,,Read TUESDAY (legible) as Friday.,,hollywood/478055626809529_0#09,1,FRI 06:45 for 90 min,legal,illegal,no panel is violated by this stay,Parking is not allowed from 8 AM to 10 AM on Fridays due to street cleaning.,"The driver arrives at 06:45 on Friday, which is outside the restricted parking time of 08:00-10:00 on Tuesday. Since the restriction only applies on Tuesday and the driver is parking on Friday, it is legal.",data/collect/crops/hollywood/478055626809529_0.jpg,claude
internvl3_5-8b,hollywood/501165640928809_0,reasoning,day-only reasoning,wrong day range,Cited the 12-3 PM restriction for a 23:05 stay; also read MONDAY as weekdays.,,hollywood/501165640928809_0#08,2,"MON 23:05 for 45 min, permit 96",legal,illegal,no panel is violated by this stay,Parking is illegal from 12:00 to 3:00 PM on weekdays due to street sweeping.,"The driver arrives at 23:05 on Monday, which is outside the 12:00-15:00 no parking restriction on Panel 1. However, Panel 0 states no parking all day every day, but district 96 permit holders are exempt. Since the driver has a residential permit for district 96, they are exempt from the no parking rule on Panel 0. Therefore, parking is legal.",data/collect/crops/hollywood/501165640928809_0.jpg,claude
internvl3_5-8b,hollywood/541831663800034_0,interpretation,default-deny,,Treated the 2-hour window (8 AM-8 PM) as the only hours parking is allowed. Outside it no limit applies.,,hollywood/541831663800034_0#08,3+,FRI 03:03 for 30 min,legal,illegal,no panel is violated by this stay,"Parking is allowed from 8 AM to 8 PM on weekdays, but the driver arrived at 03:03, which is outside the allowed hours.","The driver arrives at 03:03 on Friday, which is outside the restricted hours for parking on any panel. Since the driver has no parking permit, parking is legal for the entire stay.",data/collect/crops/hollywood/541831663800034_0.jpg,claude
internvl3_5-8b,hollywood/575628690496784_0,reasoning,time comparison,default-deny,"Said 18:55 is outside 8 AM-8 PM, then treated outside as prohibited.",,hollywood/575628690496784_0#02,1,MON 18:55 for 60 min,legal,illegal,no panel is violated by this stay,"Parking is allowed from 8 AM to 8 PM, excluding Sundays. The driver arrives at 18:55 (6:55 PM), which is outside the allowed parking hours.","The driver arrives at 18:55, which is within the 08:00-20:00 time frame on Monday. Since the parking is time-limited to 60 minutes and the driver wants to park for exactly 1 hour, it is legal as long as they leave by 19:55.",data/collect/crops/hollywood/575628690496784_0.jpg,claude
internvl3_5-8b,hollywood/900861954030554_0,reasoning,time comparison,default-deny,Said 18:59 is outside 8 AM-8 PM.,,hollywood/900861954030554_0#02,1,WED 18:59 for 60 min,legal,illegal,no panel is violated by this stay,"Parking is allowed from 8 AM to 8 PM, except Sunday. The driver arrives at 18:59, which is outside the allowed parking hours.","The driver arrives at 18:59 on Wednesday, which is within the 08:00-20:00 time frame for time-limited parking. Since the parking limit is 60 minutes and the driver wants to park for exactly 1 hour, parking is legal for the entire stay.",data/collect/crops/hollywood/900861954030554_0.jpg,claude
internvl3_5-8b,koreatown/1537672749905364_0,reasoning,other reasoning,,"Gave 'arrived at 08:04, after the 8 AM start' as the reason it's illegal. Incoherent.",,koreatown/1537672749905364_0#01,1,TUE 08:04 for 60 min,legal,illegal,no panel is violated by this stay,"Parking is illegal because the driver arrived at 08:04, which is after the 8 AM start time, and wants to park for 1 hour.","The driver arrives at 08:04 on Tuesday, which is within the 08:00-18:00 time frame for time-limited parking. The parking limit is 60 minutes, and the driver wants to park for exactly 1 hour. Since the driver has no parking permit, they are not exempt from the time limit. However, the driver arrives just 4 minutes after the start time, and if they leave exactly 1 hour later (at 09:04), they would not exceed the 60-minute limit. Therefore, parking for the entire stay of 1 hour is legal.",data/collect/crops/koreatown/1537672749905364_0.jpg,claude
